Date,Close,Predictions,title_senti_comp,news_senti_comp,avg_senti_comp,residual,ols_adjusted_pred,recommnedation,recommendation,Buy,Purchased
2021-05-28,2094.800048828125,1966.0896,0.0,0.0,0.0,-128.71044921875,2101.275048828125,Buy,Hold,0,0.0
2021-05-31,2160.300048828125,2012.1726,0.0,0.0,0.0,-148.12744140625,2166.775048828125,Hold,Hold,0,0.0
2021-06-01,2168.89990234375,2128.7932,0.0,0.0,0.0,-40.106689453125,2175.37490234375,Hold,Hold,0,0.0
2021-06-02,2201.25,2148.4011,0.0,0.8092,0.405,-52.848876953125,2195.684104,Hold,Hold,0,0.0
2021-06-03,2209.64990234375,2172.539,0.11333333333333336,0.5156666666666667,0.3133333333333333,-37.11083984375,2208.45178234375,Hold,Hold,0,0.0
2021-06-04,2190.5,2190.2483,0.0,0.16535,0.08000000000000003,-0.251708984375,2194.514592,Hold,Hold,0,0.0
2021-06-07,2227.39990234375,2167.9817,0.0,0.0,0.0,-59.418212890625,2233.87490234375,Hold,Hold,0,0.0
2021-06-08,2214.60009765625,2196.083,0.0,0.0,0.0,-18.51708984375,2221.07509765625,Hold,Hold,0,0.0
2021-06-09,2175.0,2173.771,0.0,0.0,0.0,-1.22900390625,2181.475,Hold,Hold,0,0.0
2021-06-10,2183.0,2176.806,0.0,-0.3021,-0.15000000000000002,-6.194091796875,2193.970248,Buy,Buy,1,2183.0
2021-06-11,2213.14990234375,2178.3835,0.0,-0.32899999999999996,-0.15999999999999998,-34.766357421875,2224.52042234375,Buy,Buy,1,2213.14990234375
2021-06-14,2244.89990234375,2186.4866,0.34,0.9390000000000001,0.64,-58.413330078125,2237.40258234375,Hold,Hold,0,0.0
2021-06-15,2250.0,2221.151,0.0,0.0,0.0,-28.84912109375,2256.475,Hold,Hold,0,0.0
2021-06-16,2211.60009765625,2232.667,0.0,0.5994,0.3,21.06689453125,2209.1560256562498,Hold,Hold,0,0.0
2021-06-17,2215.64990234375,2222.8274,0.17,0.43535,0.3,7.177490234375,2215.64689434375,Hold,Hold,0,0.0
2021-06-18,2225.64990234375,2215.4011,0.0,0.0,0.0,-10.248779296875,2232.12490234375,Hold,Hold,0,0.0
2021-06-21,2237.25,2218.5457,0.0,0.9915,0.5,-18.704345703125,2228.9714799999997,Hold,Hold,0,0.0
2021-06-22,2225.75,2228.1433,0.0,0.0,0.0,2.393310546875,2232.225,Hold,Hold,0,0.0
2021-06-23,2205.35009765625,2228.511,0.0,0.0,0.0,23.160888671875,2211.82509765625,Hold,Hold,0,0.0
2021-06-24,2153.5,2219.513,0.0,0.743,0.37,66.012939453125,2148.91916,Hold,Hold,0,0.0
2021-06-25,2104.449951171875,2171.9287,0.0,0.8785333333333334,0.4366666666666667,67.478759765625,2097.852375171875,Hold,Hold,0,0.0
2021-06-28,2086.0,2121.623,0.0,0.19655,0.1,35.623046875,2089.550336,Hold,Hold,0,0.0
2021-06-29,2087.800048828125,2104.143,0.0,0.0,0.0,16.343017578125,2094.275048828125,Buy,Hold,0,0.0
2021-06-30,2110.64990234375,2093.6458,0.0,0.96805,0.485,-17.004150390625,2102.72031834375,Hold,Hold,0,0.0
2021-07-01,2097.949951171875,2094.1897,0.0,0.0,0.0,-3.76025390625,2104.424951171875,Buy,Hold,0,0.0
2021-07-02,2129.050048828125,2084.9329,0.0,0.0,0.0,-44.1171875,2135.525048828125,Buy,Hold,0,0.0
2021-07-05,2150.199951171875,2087.4673,0.0,0.0,0.0,-62.732666015625,2156.674951171875,Buy,Hold,0,0.0
2021-07-06,2124.800048828125,2127.4517,0.0,0.0,0.0,2.651611328125,2131.275048828125,Buy,Hold,0,0.0
2021-07-07,2110.050048828125,2134.4614,0.0,0.0,0.0,24.411376953125,2116.525048828125,Buy,Hold,0,0.0
2021-07-08,2092.60009765625,2119.814,0.0,0.0,0.0,27.2138671875,2099.07509765625,Buy,Hold,0,0.0
