date,title_senti_comp,news_senti_comp,avg_senti_comp
2020-01-17,0.0,0.7288,0.365
2020-01-18,0.13820000000000002,0.4516,0.29333333333333333
2020-01-20,0.1909,0.7479,0.47
2020-01-21,0.5267,0.6597,0.59
2020-01-23,0.296,0.296,0.3
2020-01-24,0.3818,0.1027,0.24
2020-01-29,0.0,0.1779,0.09
2020-02-04,0.0,0.8442,0.42
2020-02-05,0.11333333333333334,0.8374,0.4766666666666666
2020-02-07,0.1779,0.9169,0.55
2020-02-10,-0.4404,0.101,-0.17
2020-02-14,0.6007,0.43535,0.52
2020-02-18,0.0,0.8074,0.4
2020-02-24,0.6124,0.5984,0.61
2020-02-26,0.0,0.6369,0.32
2020-02-27,0.0,0.8207,0.41
2020-02-29,0.0,0.8402,0.42
2020-03-02,0.0,0.9074,0.45
2020-03-03,0.0,0.0258,0.01
2020-03-05,0.0,0.81945,0.41000000000000003
2020-03-18,0.0,0.7667999999999999,0.385
2020-03-19,-0.17020000000000002,0.2830333333333333,0.05333333333333332
2020-03-24,0.49333333333333335,0.7301333333333333,0.61
2020-03-25,0.4588,0.9697,0.71
2020-03-26,0.4767,0.9545,0.72
2020-03-28,0.0,0.4588,0.23
2020-03-30,0.296,0.8979,0.6
2020-03-31,0.0,0.45285,0.225
2020-04-03,0.0,0.8144,0.41000000000000003
2020-04-15,0.0,-0.4767,-0.24
2020-04-18,0.0,0.2021,0.1
2020-04-21,0.0,0.6597,0.33
2020-04-22,0.0,0.91335,0.45999999999999996
2020-04-24,-0.09400000000000003,-0.95815,-0.525
2020-04-28,0.0,0.6633,0.33
2020-04-30,0.0,0.90925,0.455
2020-05-02,0.4404,0.9136,0.68
2020-05-04,0.0,0.33199999999999996,0.16666666666666666
2020-05-05,0.0,-0.7806,-0.39
2020-05-08,0.0,0.93495,0.46499999999999997
2020-05-09,0.4019,0.34,0.37
2020-05-14,0.0,0.1779,0.09
2020-05-18,0.0,0.8126,0.41
2020-05-20,0.0,0.39915,0.2
2020-05-22,0.0,0.8537,0.43
2020-06-04,0.5859,0.9518500000000001,0.765
2020-06-05,0.0,0.8501000000000001,0.42500000000000004
2020-06-06,0.0,0.8126,0.41
2020-06-08,0.0,0.8995500000000001,0.45
2020-06-15,0.3055333333333334,0.9515666666666668,0.63
2020-06-18,0.4939,0.9714,0.73
2020-06-19,0.2023,0.43535,0.315
2020-06-25,0.4019,0.7667999999999999,0.585
2020-06-30,-0.033466666666666665,0.4265666666666667,0.19666666666666666
2020-07-01,0.0,0.74485,0.375
2020-07-03,0.0,0.9383,0.47
2020-07-04,0.5106,0.7296,0.62
2020-07-06,0.3182,0.9223,0.62
2020-07-08,0.0,0.8364499999999999,0.41500000000000004
2020-07-10,0.0,0.95035,0.475
2020-07-11,0.0,0.6841,0.34
2020-07-13,0.0,0.8983,0.445
2020-07-15,0.2732,0.4588,0.37
2020-07-16,0.3461,0.8171333333333334,0.58
2020-07-18,-0.5719,-0.4215,-0.5
2020-07-21,0.15293333333333334,0.8086333333333333,0.48
2020-07-22,0.0,0.9035,0.45
2020-07-24,0.5106,0.21805000000000002,0.365
2020-07-25,0.0,0.6369,0.32
2020-07-27,0.5188,0.911,0.7150000000000001
2020-07-29,0.0,0.5859,0.29
2020-07-31,0.4404,0.7735000000000001,0.605
2020-08-19,0.0,0.765,0.38
2020-08-21,0.0,0.7783,0.39
2020-08-31,0.0,0.94145,0.47
2020-09-09,0.085,0.6855,0.38499999999999995
2020-09-23,0.0,0.7826666666666666,0.38999999999999996
2020-09-25,0.0,0.6458,0.3225
2020-09-26,0.0,0.72115,0.36
2020-09-28,0.34,0.8371,0.59
2020-09-30,0.0,0.8609,0.43
2020-10-01,0.0,0.75145,0.375
2020-10-03,0.0,0.553775,0.27749999999999997
2020-10-05,0.0,0.8737999999999999,0.435
2020-10-06,0.4939,0.6249,0.56
2020-10-07,0.0,0.820275,0.41000000000000003
2020-10-13,0.0,0.7288,0.365
2020-10-15,0.0,0.8126,0.41
2020-10-16,0.0,0.8957,0.45
2020-10-19,0.0,0.44913333333333333,0.22333333333333336
2020-10-20,0.0,0.4767,0.24
2020-10-21,0.0,0.5492,0.27
2020-10-22,0.0,0.56265,0.28
2020-10-23,0.0,0.9088,0.45499999999999996
2020-11-06,0.0,0.9429,0.47
2020-11-10,0.0,0.616,0.31
2020-11-13,0.17,0.9803999999999999,0.575
2020-11-17,0.0,0.9218000000000001,0.45999999999999996
2020-11-20,0.0,0.4767,0.24
2020-11-24,0.2294,0.79785,0.515
2020-11-25,0.0,-0.1531,-0.08
2020-11-26,0.0,0.296,0.15
2020-11-30,0.4019,0.5994,0.5
2020-12-03,0.0,0.5106,0.26
2020-12-08,0.0,0.6908,0.35
2020-12-09,0.0,0.8428,0.42
2020-12-10,0.0,0.1901,0.1
2020-12-14,0.0,0.34,0.17
2020-12-16,0.5106,0.2263,0.37
2020-12-17,0.6908,0.6444,0.67
2020-12-19,0.0,-0.3182,-0.16
2020-12-24,0.0,0.7288,0.365
2020-12-28,0.3941,0.41745000000000004,0.405
2020-12-30,0.19733333333333333,0.7345333333333333,0.47000000000000003
2020-12-31,0.5106,0.25,0.38
2021-01-01,0.5106,0.6557,0.58
2021-01-02,-0.1027,0.5267,0.21
2021-01-04,0.0,0.0,0.0
2021-01-23,0.2202,0.35015,0.285
2021-01-25,0.0,0.843,0.425
2021-01-27,0.0,0.6249,0.31
2021-01-29,0.17,0.7288,0.44999999999999996
2021-02-04,0.23835,0.8524,0.5449999999999999
2021-02-19,0.0,0.7288,0.365
2021-02-23,0.0,0.9696,0.485
2021-02-27,0.0,0.34,0.17
2021-03-01,0.0,0.597925,0.3
2021-03-03,0.17,0.43535,0.3
2021-03-05,0.34,0.6444,0.49
2021-03-06,-0.0129,0.40775,0.195
2021-03-10,-0.296,0.3612,0.03
2021-03-18,0.0,0.6369,0.32
2021-03-19,0.0,0.73705,0.365
2021-04-06,0.4939,0.9493,0.72
2021-04-07,0.24695,0.9796499999999999,0.615
2021-04-21,0.0,0.5106,0.26
2021-04-22,0.0,0.0,0.0
2021-04-23,0.19733333333333333,0.5954666666666667,0.3933333333333333
2021-04-24,0.296,0.5106,0.4
2021-04-26,-0.17616,0.09584000000000001,-0.039999999999999994
2021-04-29,0.09866666666666667,0.239,0.17
2021-05-01,0.4404,0.93,0.69
2021-05-03,0.0,0.2263,0.11
2021-05-05,-0.0258,0.5106,0.24
2021-05-06,0.3182,0.6908,0.5
2021-05-10,0.08895,0.8767499999999999,0.48
2021-05-12,0.0,0.7288,0.365
2021-05-14,0.33525,0.8041499999999999,0.57
2021-05-15,0.0,0.0,0.0
2021-05-17,0.0,0.7867,0.39
2021-05-18,0.0,0.765,0.38
2021-05-22,0.0,0.6249,0.31
2021-05-29,0.0,0.0,0.0
2021-06-02,0.0,0.8092,0.405
2021-06-03,0.11333333333333334,0.5156666666666667,0.3133333333333333
2021-06-04,0.0,0.16535,0.08000000000000002
2021-06-10,0.0,-0.3021,-0.15000000000000002
2021-06-11,0.0,-0.329,-0.15999999999999998
2021-06-12,0.0,0.9043,0.45
2021-06-14,0.34,0.939,0.64
2021-06-16,0.0,0.5994,0.3
2021-06-17,0.17,0.43535,0.3
2021-06-19,-0.0129,0.57375,0.28
2021-06-21,0.0,0.9915,0.5
2021-06-24,0.0,0.743,0.37
2021-06-25,0.0,0.8785333333333334,0.4366666666666667
2021-06-28,0.0,0.19655,0.09999999999999999
2021-06-30,0.0,0.9680500000000001,0.485
2021-07-03,0.296,0.5106,0.4
2021-07-13,0.2718333333333333,0.7047,0.48666666666666664
2021-07-16,0.0,0.296,0.15
2021-07-17,0.0,0.8957,0.45
2021-07-19,0.0,0.9345,0.47
2021-07-20,0.0,0.9345,0.47
2021-07-21,0.2263,0.7703,0.5
2021-07-22,0.0,0.5423,0.27
2021-07-24,0.2202,0.4201,0.32
2021-07-26,0.40080000000000005,0.28369999999999995,0.34
2021-07-27,0.0,0.5423,0.27
2021-08-03,0.26425,0.45332500000000003,0.3575
2021-08-04,0.0,0.9409,0.47
2021-08-05,0.17,0.9037999999999999,0.535
2021-08-06,0.1779,0.8658,0.52
2021-08-09,0.0,0.5106,0.26
2021-08-10,0.0,0.7452,0.37333333333333335
2021-08-11,0.0,0.0516,0.03
2021-08-14,0.4939,0.6908,0.59
2021-08-16,0.0,0.9919,0.5
2021-08-19,0.0,0.7096,0.35
2021-08-20,0.0,0.8505,0.43
2021-08-23,0.0,0.6369,0.32
2021-08-24,0.0,0.8207,0.41
2021-08-26,0.7184,0.8973,0.81
